_id,title,description,release_date,genre,director,rating,cast[0].actor,cast[1].actor,cast[2].actor,cast[3].actor,cast[4].actor,cast[5].actor,cast[6].actor,cast[7].actor,cast[8].actor,cast[9].actor,cast[10].actor,cast[11].actor,cast[12].actor,cast[13].actor,cast[14].actor,cast[15].actor,cast[16].actor,cast[17].actor,cast[18].actor,cast[19].actor,cast[20].actor,cast[21].actor,cast[22].actor,cast[23].actor,cast[24].actor,cast[25].actor,cast[26].actor,cast[27].actor,cast[28].actor,cast[29].actor,cast[30].actor,cast[31].actor,cast[32].actor,cast[0].role,cast[1].role,cast[2].role,cast[3].role,cast[4].role,cast[5].role,cast[6].role,cast[7].role,cast[8].role,cast[9].role,cast[10].role,cast[11].role,cast[12].role,cast[13].role,cast[14].role,cast[15].role,cast[16].role,cast[17].role,cast[18].role,cast[19].role,cast[20].role,cast[21].role,cast[22].role,cast[23].role,cast[24].role,cast[25].role,cast[26].role,cast[27].role,cast[28].role,cast[29].role,cast[30].role,cast[31].role,cast[32].role,cast[0]._id,cast[1]._id,cast[2]._id,cast[3]._id,cast[4]._id,cast[5]._id,cast[6]._id,cast[7]._id,cast[8]._id,cast[9]._id,cast[10]._id,cast[11]._id,cast[12]._id,cast[13]._id,cast[14]._id,cast[15]._id,cast[16]._id,cast[17]._id,cast[18]._id,cast[19]._id,cast[20]._id,cast[21]._id,cast[22]._id,cast[23]._id,cast[24]._id,cast[25]._id,cast[26]._id,cast[27]._id,cast[28]._id,cast[29]._id,cast[30]._id,cast[31]._id,cast[32]._id,poster_url,banner_url,writer,season,season_year,test_poster_url,is_deleted,language,__v,view_count,created_at,updated_at,deleted_at,trailer_url,now_streaming_on[0],now_streaming_on[1]
6788de2ea7f15bb1fc0590b9,Dark Matter,An expert in astrophysics sheds light on the topic of dark matter which has been one of the primary mysteries in modern physics.,2025-01-16T00:00:00.000Z,"Sci-Fi, Drama, Thriller",Blake Crouch,0,Joel Edgerton,Jennifer Connelly,Alice Braga,Jimmi Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788f275a7f15bb1fc05d1bf,6788f275a7f15bb1fc05d1c0,6788f275a7f15bb1fc05d1c1,6788f275a7f15bb1fc05d1c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737028163139-s-darkmatter-p.jpg,https://moviu.s3.us-east-1.amazonaws.com/shows/1737028166274-s-darkmatter-b.jpg,Blake Crouch,1 season,2024,,false,English,0,,,,,,,
6788e8d5a7f15bb1fc05bb3d,Breaking Bad,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,2025-01-16T11:09:08.976Z,"Psychological Thriller, Drama, Thriller, Epic, Crime",Vince Gilligan,0,Bryan Cranston,Aaron Paul,Anna Gunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788e8d5a7f15bb1fc05bb3e,6788e8d5a7f15bb1fc05bb3f,6788e8d5a7f15bb1fc05bb40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737025745915-bb-1.jpg,https://moviu.s3.us-east-1.amazonaws.com/shows/1737025745919-bb-2.jpg,Vince Gilligan,5 Seasons,2008-2013,,false,English,0,,,,,,,
6788f32ba7f15bb1fc05d1e3,3 Body Problem,A learned educator delivers a lecture shedding light on the three-body problem in a detailed and easy-to-understand manner.,2025-01-16T11:53:15.009Z,Thriller,"Minkie Spiro, Jeremy Podeswa, Derek Tsang, Andrew Stanton",0,Jovan Adepo,Liam Cunningham,Eiza González,Jess Hong,Benedict Wong,Marlo Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,Role 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788f32ba7f15bb1fc05d1e4,6788f32ba7f15bb1fc05d1e5,6788f32ba7f15bb1fc05d1e6,6788f32ba7f15bb1fc05d1e7,6788f32ba7f15bb1fc05d1e8,6788f32ba7f15bb1fc05d1e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737028388807-moviu poster-3 Body Problem-01.png,https://moviu.s3.us-east-1.amazonaws.com/shows/1737028388812-moviu banner-3 Body Problem-01.png," David Benioff, D.B. Weiss, Alexander Woo",1 season,2024,,false,English,0,,,,,,,
6788f3e2a7f15bb1fc05d7de,Presumed Innocent,A horrific murder upends the Chicago Prosecuting Attorney's' office when one of its own is suspected of the crime.,2025-01-16T00:00:00.000Z,"Crime, Drama, Mystery","Greg Yaitanes, Anne Sewitsky",0,Jake Gyllenhaal,Ruth Negga,Bill Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788f494a7f15bb1fc05d86f,6788f494a7f15bb1fc05d870,6788f494a7f15bb1fc05d871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737028576902-s-presumedinnocent-p.jpg,https://moviu.s3.us-east-1.amazonaws.com/shows/1737028576903-s-presumedinnocent-b.jpg,"Miki Johnson, David E. Kelley, Scott Turow, Sharr White",1 Season,2024,,false,English,0,,,,,,,
6788f764a7f15bb1fc0624a0,Supacell,"In South London, a group of normal people suddenly develop superpowers, and the only apparent connection between them is that they are all Black; as they deal with the impact of their powers on their daily lives, one man must bring them together.",2025-01-16T12:11:16.467Z,"Action, Superhero, Adventure",Rapman,0,Tosin Cole,Nadine Mills,Josh Tedeku,Eric Kofi Abrefa,Adelayo Adedayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788f764a7f15bb1fc0624a1,6788f764a7f15bb1fc0624a2,6788f764a7f15bb1fc0624a3,6788f764a7f15bb1fc0624a4,6788f764a7f15bb1fc0624a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737029467815-moviu poster-Supacell-01.png,https://moviu.s3.us-east-1.amazonaws.com/shows/1737029467820-moviu banner-Supacell-01.png, Rapman, 1 season,2024,,false,English,0,,,,,,,
6788fcaaa7f15bb1fc063c6f,Game of Thrones,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",2025-01-16T00:00:00.000Z,"Action, Adventure, Drama, Fantasy, Mystery, Epic","David Benioff, D.B. Weiss",0,Emilia Clarke,Peter Dinklage,Kit Harington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788fd33a7f15bb1fc06426c,6788fd33a7f15bb1fc06426d,6788fd33a7f15bb1fc06426e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737030961254-s-got-p.jpg,https://moviu.s3.us-east-1.amazonaws.com/shows/1737030824059-s-got-b.jpg,"David Benioff, George R.R. Martin, D.B. Weiss",8 Seasons,2011–2019,,false,English,0,,,,,,,
6788fe80a7f15bb1fc0642ad,The Gentlemen,"When aristocratic Eddie inherits the family estate, he discovers that it's home to a huge weed empire, and its proprietors aren't going anywhere.",2025-01-16T00:00:00.000Z,"Action, Crime, Comedy",Guy Ritchie,0,Theo James,Kaya Scodelario,Daniel Ings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788feb2a7f15bb1fc064922,6788feb2a7f15bb1fc064923,6788feb2a7f15bb1fc064924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737031293196-s-thegentlemen-p.jpg,https://moviu.s3.us-east-1.amazonaws.com/shows/1737031293197-s-thegentlemen-b.jpg,"Guy Ritchie, Matthew Read, Stuart Carolan",2 Seasons,2024-2025,,false,English,0,,,,,,,
678903bba7f15bb1fc0693f9,Narcos,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",2025-01-16T13:03:55.387Z,"Crime, Drama, Epic, Gangster, Thriller"," Carlo Bernard, Chris Brancato Doug Miro",0,"Pedro Pascal,Wagner Moura,Boyd Holbrook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678903bba7f15bb1fc0693fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737032633272-s-narcos-p.jpg,https://moviu.s3.us-east-1.amazonaws.com/shows/1737032633273-s-narcos-b.jpg,"Carlo Bernard, Doug Miro, Andrew Black, Clayton Trussell",3 Seasons,2015–2017,,false,English,0,,,,,,,
67890505a7f15bb1fc0694a6,Tribhuvan Mishra CA Topper,A banking crisis forces CA topper Tribhuvan Mishra to take up sex work; discovering if this dual existence alleviate his troubles or create entirely new ones.,2025-01-16T13:09:24.989Z,"Thriller, Comedy, Crime, Drama",Puneet Krishna,0,Manav Kaul,Tillotama Shome,Shubhrajyoti Barat,Naina Sareen,Shweta Basu Prasad,Ashok Pathak,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,Role 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,67890505a7f15bb1fc0694a7,67890505a7f15bb1fc0694a8,67890505a7f15bb1fc0694a9,67890505a7f15bb1fc0694aa,67890505a7f15bb1fc0694ab,67890505a7f15bb1fc0694ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737032959005-moviu poster-Tribhuvan Mishra CA Topper-01.png,https://moviu.s3.us-east-1.amazonaws.com/shows/1737032959010-moviu banner-Tribhuvan Mishra CA Topper-01.png, Puneet Krishna,1 season,2024,,false,Hindi,0,,,,,,,
6789076aa7f15bb1fc06ae56,Ranneeti: Balakot & Beyond,"Ranneeti: Balakot & Beyond is a Hindi-language war drama streaming television series directed by Santosh Singh for JioCinema. The series stars Ashutosh Rana, Ashish Vidyarthi, Jimmy Shergill, Lara Dutta, Aakanksha Singh, Mir Sarwar, Prasanna, Sikandar Kharbanda and others.",2025-01-16T00:00:00.000Z,"Action, Drama",Santosh Singh,0,Jimmy Shergill,Mandeep Kumar,Shahid Malik,Umar Sharif,Sunil Saraswat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67890809a7f15bb1fc06b1fa,67890809a7f15bb1fc06b1fb,67890809a7f15bb1fc06b1fc,67890809a7f15bb1fc06b1fd,67890809a7f15bb1fc06b1fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/shows/1737033735122-s-rajneeti-p.jpg,https://moviu.s3.us-east-1.amazonaws.com/shows/1737033572848-moviu banner-Ranneeti- Balakot & Beyond-01.png," Maitrey Bajpai, Sanjay Chopra, Aniruddha Guha, Ramiz Ilham Khan, Sudeep Nigam, Santosh Singh, Vasim Kapadia, Prateek Singh",1 season,2024,,false,Hindi,0,,,,,,,
